Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1992,Butane,Saskatchewan,PADD II,Pipeline,3000,18869.4,315000,257715.8932,10.5,32.518588
1992,Butane,Saskatchewan,PADD II,Railway,98851.2,621754.2778,9087035.2,7350726.944,9.19264,28.148814
1992,Butane,Saskatchewan,PADD II,Truck,3584.1,22543.27218,427772.1,343129.6414,11.935272,36.24014
1992,Butane,Saskatchewan,PADD IV,Railway,3539,22259.6022,381556,301638.0232,10.781463,32.263929
1992,Butane,Saskatchewan,PADD V,Railway,3171,19944.9558,271185.6,223250.651,8.552052,26.650677
1992,Butane,Saskatchewan,Total,Pipeline,3000,18869.4,315000,257715.8932,10.5,32.518588
1992,Butane,Saskatchewan,Total,Railway,107234.7,674484.8161,9912987.8,8013209.684,9.244197,28.286742
1992,Butane,Saskatchewan,Total,Truck,3584.1,22543.27218,427772.1,343129.6414,11.935272,36.24014
1992,Propane,Alberta,PADD I,Railway,2811,17680.6278,405124,321636.2802,14.412095,43.31277
1992,Propane,Alberta,PADD II,Railway,23352,146879.4096,2037407.6,1666323.774,8.724767,27.011399
1992,Propane,Alberta,PADD II,Truck,1216,7648.3968,101583,82311.3228,8.353865,25.62346
1992,Propane,Alberta,PADD IV,Railway,28820,181272.036,2072145.25,1697195.518,7.189955,22.292031
1992,Propane,Alberta,PADD IV,Truck,72619.4,456761.5021,5220002.6,4275721.791,7.188165,22.287867
1992,Propane,Alberta,PADD V,Railway,128702.8,809514.8714,10005662.85,8144636.233,7.774238,23.954961
1992,Propane,Alberta,PADD V,Truck,12659.9,79628.23902,835371.63,692361.2997,6.598564,20.702091
1992,Propane,Alberta,Total,Railway,183685.8,1155346.945,14520339.7,11829791.81,7.904987,24.378854
1992,Propane,Alberta,Total,Truck,86495.3,544038.1379,6156957.23,5050394.414,7.118256,22.102659
